Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
438;ELS;Equity LifeStyle Properties, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29472R1086;;1,00;0,01000;USD;04.12.2020 0:00:00
439;EME;EMCOR Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29084Q1004;;1,00;0,01000;USD;18.05.2020 0:00:00
440;EMN;Eastman Chemical Company;Акции;Акции иностранного эмитента обыкновенные;;US2774321002;;1,00;0,01000;USD;26.04.2017 0:00:00
441;EMR;Emerson Electric Co.;Акции;Акции иностранного эмитента обыкновенные;;US2910111044;;1,00;0,01000;USD;06.10.2016 0:00:00
442;ENDP;Endo International PLC;Акции;Акции иностранного эмитента обыкновенные;;IE00BJ3V9050;;1,00;0,01000;USD;26.04.2017 0:00:00
443;ENPH;Enphase Energy, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29355A1079;;1,00;0,01000;USD;29.07.2020 0:00:00
444;ENR;Energizer Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29272W1099;;1,00;0,01000;USD;04.12.2020 0:00:00
445;ENS;EnerSys;Акции;Акции иностранного эмитента обыкновенные;;US29275Y1029;;1,00;0,01000;USD;18.05.2020 0:00:00
446;ENSG;The Ensign Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29358P1012;;1,00;0,01000;USD;28.02.2019 0:00:00
447;ENTA;Enanta Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29251M1062;;1,00;0,01000;USD;28.02.2019 0:00:00
448;ENTG;Entegris, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29362U1043;;1,00;0,01000;USD;18.05.2020 0:00:00
449;ENV;Envestnet, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29404K1060;;1,00;0,01000;USD;11.06.2019 0:00:00
450;EOAN@DE;E.ON SE;Акции;Акции иностранного эмитента обыкновенные;;DE000ENAG999;;1,00;0,01000;EUR;01.03.2021 0:00:00
451;EOG;EOG Resources, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US26875P1012;;1,00;0,01000;USD;06.10.2016 0:00:00
452;EPAM;EPAM Systems, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29414B1044;;1,00;0,01000;USD;31.01.2019 0:00:00
453;EPAY;Bottomline Technologies (de), Inc.;Акции;Акции иностранного эмитента обыкновенные;;US1013881065;;1,00;0,01000;USD;04.04.2019 0:00:00
454;EPC;Edgewell Personal Care Company;Акции;Акции иностранного эмитента обыкновенные;;US28035Q1022;;1,00;0,01000;USD;11.06.2019 0:00:00
455;EQIX;Equinix, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29444U7000;ESVUFR;1,00;0,01000;USD;26.04.2017 0:00:00
456;EQT;EQT Corporation;Акции;Акции иностранного эмитента обыкновенные;;US26884L1098;;1,00;0,01000;USD;26.04.2017 0:00:00
457;ERIE;Erie Indemnity Company;Акции;Акции иностранного эмитента обыкновенные класса A;;US29530P1021;;1,00;0,01000;USD;28.02.2019 0:00:00
458;ES;Eversource Energy;Акции;Акции иностранного эмитента обыкновенные;;US30040W1080;;1,00;0,01000;USD;26.04.2017 0:00:00
459;ESE;ESCO Technologies Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2963151046;;1,00;0,01000;USD;29.07.2020 0:00:00
460;ESPR;Esperion Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29664W1053;;1,00;0,01000;USD;31.10.2019 0:00:00
461;ESS;Essex Property Trust, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US2971781057;;1,00;0,01000;USD;26.04.2017 0:00:00
462;ET;Energy Transfer LP;Акции;Акции иностранного эмитента обыкновенные;;US29273V1008;ESVUFR;1,00;0,01000;USD;13.11.2018 0:00:00
463;ETN;Eaton Corporation plc;Акции;Акции иностранного эмитента обыкновенные;;IE00B8KQN827;;1,00;0,01000;USD;06.10.2016 0:00:00
464;ETR;Entergy Corporation;Акции;Акции иностранного эмитента обыкновенные;;US29364G1031;;1,00;0,01000;USD;02.03.2020 0:00:00
465;ETRN;Equitrans Midstream Corporation;Акции;Акции иностранного эмитента обыкновенные;;US2946001011;;1,00;0,01000;USD;29.11.2018 0:00:00
466;ETSY;Etsy, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29786A1060;;1,00;0,01000;USD;31.01.2019 0:00:00
467;EVBG;Everbridge, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US29978A1043;;1,00;0,01000;USD;31.10.2019 0:00:00
468;EVER;EverQuote, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US30041R1086;;1,00;0,01000;USD;13.10.2020 0:00:00
469;EVH;Evolent Health, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US30050B1017;;1,00;0,01000;USD;05.08.2019 0:00:00
470;EVK@DE;Evonik Industries AG;Акции;Акции иностранного эмитента обыкновенные;;DE000EVNK013;;1,00;0,01000;EUR;01.03.2021 0:00:00
471;EVR;Evercore Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US29977A1051;;1,00;0,01000;USD;18.05.2020 0:00:00
472;EVRG;Evergy, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US30034W1062;;1,00;0,01000;USD;29.07.2020 0:00:00
473;EVT@DE;Evotec SE;Акции;Акции иностранного эмитента обыкновенные;;DE0005664809;;1,00;0,01000;EUR;01.03.2021 0:00:00
474;EW;Edwards Lifesciences Corporation;Акции;Акции иностранного эмитента обыкновенные;;US28176E1082;;1,00;0,01000;USD;26.04.2017 0:00:00
475;EWBC;East West Bancorp, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US27579R1041;;1,00;0,01000;USD;18.05.2020 0:00:00
476;EXAS;Exact Sciences Corporation;Акции;Акции иностранного эмитента обыкновенные;;US30063P1057;;1,00;0,01000;USD;05.08.2019 0:00:00
477;EXC;Exelon Corporation;Акции;Акции иностранного эмитента обыкновенные;;US30161N1019;ESVUFR;1,00;0,01000;USD;28.11.2014 0:00:00
478;EXEL;Exelixis, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US30161Q1040;;1,00;0,01000;USD;05.08.2019 0:00:00
479;EXLS;ExlService Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3020811044;;1,00;0,01000;USD;28.02.2019 0:00:00
480;EXP;Eagle Materials Inc.;Акции;Акции иностранного эмитента обыкновенные;;US26969P1084;;1,00;0,01000;USD;31.01.2019 0:00:00
481;EXPD;Expeditors International of Washington, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3021301094;;1,00;0,01000;USD;06.10.2016 0:00:00
482;EXPE;Expedia Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US30212P3038;;1,00;0,01000;USD;26.04.2017 0:00:00
483;EXPO;Exponent, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US30214U1025;;1,00;0,01000;USD;29.07.2020 0:00:00
484;EXR;Extra Space Storage Inc.;Акции;Акции иностранного эмитента обыкновенные;;US30225T1025;;1,00;0,01000;USD;26.04.2017 0:00:00
485;EYE;National Vision Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US63845R1077;;1,00;0,01000;USD;11.06.2019 0:00:00
486;F;Ford Motor Company;Акции;Акции иностранного эмитента обыкновенные;;US3453708600;ESVUFR;1,00;0,01000;USD;28.11.2014 0:00:00
487;FANG;Diamondback Energy, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US25278X1090;;1,00;0,01000;USD;31.01.2019 0:00:00
488;FARO;FARO Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3116421021;;1,00;0,01000;USD;28.02.2019 0:00:00
489;FAST;Fastenal Company;Акции;Акции иностранного эмитента обыкновенные;;US3119001044;;1,00;0,01000;USD;19.10.2016 0:00:00
490;FATE;Fate Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US31189P1021;;1,00;0,01000;USD;31.10.2019 0:00:00
491;FB;Facebook, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US30303M1027;ESVUFR;1,00;0,01000;USD;28.11.2014 0:00:00
492;FBHS;Fortune Brands Home & Security, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US34964C1062;;1,00;0,01000;USD;31.08.2017 0:00:00
